id,state,argument,extra
1,6,1,apply 1
2,0,0,/home/job_3/file_2
3,5,4,.
4,3,1720,.
5,1,0,.
6,5,7,.
7,5,8,.
8,3,1744,.
9,6,0,apply 0
10,2,2276,.
11,7,1,release 1
12,1,0,.
13,2,1720,.
14,5,15,.
15,4,0,.
16,1,0,.
17,5,18,.
18,2,2372,.
19,2,2022,.
20,3,1924,.
21,5,22,.
22,0,0,/home/job_3/file_22
23,4,0,.
24,2,1620,.
25,0,1,1 /home/job_3/file_2
26,6,2,apply 2
27,5,28,.
28,0,2,0 /home/job_3/file_2
29,0,3,/home/job_3/file_2
30,1,0,.
31,2,1828,.
32,4,0,.
33,3,1786,.
34,1,0,.
35,4,0,.
36,4,0,.
37,7,2,release 2
38,5,39,.
39,4,0,.
40,5,41,.
41,4,0,.
42,7,0,release 0
43,3,2390,.
44,2,2376,.
45,0,3,/home/job_3/file_22
46,1,0,.
47,2,2256,.
48,4,0,.
49,5,50,.
50,2,1910,.
