id,state,argument,extra
1,6,0,apply 0
2,6,1,apply 1
3,5,4,.
4,3,3258,.
5,1,0,.
6,3,4438,.
7,2,2322,.
8,5,9,.
9,7,1,release 1
10,2,2704,.
11,3,2736,.
12,3,2218,.
13,3,2508,.
14,3,3220,.
15,2,1714,.
16,4,0,.
17,7,0,release 0
18,2,4488,.
19,2,3766,.
20,4,0,.
21,1,0,.
22,4,0,.
23,0,0,/home/job_6/file_23
24,4,0,.
25,5,26,.
26,3,3082,.
27,0,0,/home/job_6/file_27
28,6,2,apply 2
29,3,3714,.
30,1,0,.
31,0,2,4 /home/job_6/file_23
32,4,0,.
33,0,3,/home/job_6/file_23
34,7,2,release 2
35,1,0,.
36,4,0,.
37,4,0,.
38,2,2358,.
39,2,1856,.
40,1,0,.
41,0,3,/home/job_6/file_27
42,1,0,.
43,3,3288,.
44,5,45,.
45,2,4052,.
46,2,4460,.
