id,state,argument,extra
1,0,0,/home/job_4/file_1
2,2,2258,.
3,2,2526,.
4,2,2970,.
5,5,6,.
6,0,1,1 /home/job_4/file_1
7,5,8,.
8,2,2900,.
9,2,2370,.
10,2,2102,.
11,2,2650,.
12,2,1934,.
13,5,14,.
14,5,15,.
15,3,1604,.
16,4,0,.
17,1,0,.
18,1,0,.
19,6,2,apply 2
20,5,21,.
21,5,22,.
22,2,2458,.
23,0,1,0 /home/job_4/file_1
24,3,1710,.
25,4,0,.
26,2,2140,.
27,3,3416,.
28,4,0,.
29,7,2,release 2
30,5,31,.
31,4,0,.
32,5,33,.
33,4,0,.
34,2,2778,.
35,3,1632,.
36,4,0,.
37,0,2,1 /home/job_4/file_1
38,3,3438,.
39,1,0,.
40,2,2544,.
41,0,3,/home/job_4/file_1
42,1,0,.
43,5,44,.
44,1,0,.
45,2,1766,.
46,3,2382,.
47,5,48,.
48,1,0,.
49,2,2234,.
50,3,3558,.
51,1,0,.
52,4,0,.
53,1,0,.
54,1,0,.
55,3,1764,.
56,1,0,.
57,1,0,.
58,5,59,.
59,5,60,.
60,1,0,.
