id,state,argument,extra
1,0,0,/home/job_7/file_1
2,3,3902,.
3,5,4,.
4,2,6572,.
5,2,5154,.
6,5,7,.
7,4,0,.
8,3,6528,.
9,0,1,0 /home/job_7/file_1
10,2,5470,.
11,4,0,.
12,3,3404,.
13,5,14,.
14,1,0,.
15,6,0,apply 0
16,1,0,.
17,5,18,.
18,1,0,.
19,5,20,.
20,4,0,.
21,2,4998,.
22,2,2542,.
23,4,0,.
24,2,1982,.
25,4,0,.
26,1,0,.
27,0,2,2 /home/job_7/file_1
28,2,4974,.
29,4,0,.
30,0,3,/home/job_7/file_1
31,3,4456,.
32,4,0,.
33,2,4648,.
34,5,35,.
35,5,36,.
36,7,1,release 1
37,2,4406,.
38,7,0,release 0
39,3,5134,.
40,5,41,.
41,3,3884,.
42,4,0,.
43,4,0,.
