id,state,argument,extra
1,2,2224,.
2,1,0,.
3,6,1,apply 1
4,1,0,.
5,1,0,.
6,5,7,.
7,3,3102,.
8,1,0,.
9,6,0,apply 0
10,2,2180,.
11,1,0,.
12,1,0,.
13,3,1624,.
14,3,1740,.
15,7,0,release 0
16,2,3138,.
17,1,0,.
18,3,3386,.
19,3,3300,.
20,3,3268,.
21,2,3338,.
22,3,3416,.
23,2,2622,.
24,4,0,.
25,4,0,.
26,5,27,.
27,5,28,.
28,2,2942,.
29,1,0,.
30,3,2900,.
31,3,2444,.
32,2,3306,.
33,4,0,.
34,1,0,.
35,5,36,.
36,4,0,.
37,5,38,.
38,1,0,.
39,6,2,apply 2
40,3,3176,.
41,4,0,.
42,5,43,.
43,4,0,.
44,5,45,.
45,2,2700,.
46,3,1842,.
47,4,0,.
48,5,49,.
49,1,0,.
50,4,0,.
51,2,3076,.
52,7,2,release 2
53,7,1,release 1
54,4,0,.
55,1,0,.
56,3,3416,.
